fpr,tpr
0.000000,0.101754
0.000000,0.101754
0.000000,0.101754
0.000000,0.101754
0.000000,0.101754
0.000000,0.101754
0.000000,0.101754
0.000000,0.101754
0.000000,0.101754
0.000000,0.101754
0.000000,0.101754
0.000000,0.101754
0.000000,0.178947
0.000000,0.178947
0.000000,0.178947
0.000000,0.178947
0.000000,0.178947
0.000000,0.178947
0.000000,0.178947
0.000000,0.178947
0.000000,0.178947
0.000000,0.178947
0.000000,0.178947
0.000000,0.178947
0.003328,0.242105
0.003328,0.242105
0.003328,0.242105
0.003328,0.242105
0.003328,0.242105
0.003328,0.242105
0.003328,0.242105
0.003328,0.242105
0.003328,0.242105
0.003328,0.242105
0.003328,0.242105
0.003328,0.242105
0.004992,0.301754
0.004992,0.301754
0.004992,0.301754
0.004992,0.301754
0.004992,0.301754
0.004992,0.301754
0.004992,0.301754
0.004992,0.301754
0.004992,0.301754
0.004992,0.301754
0.004992,0.301754
0.004992,0.301754
0.006656,0.347368
0.006656,0.347368
0.006656,0.347368
0.006656,0.347368
0.006656,0.347368
0.006656,0.347368
0.006656,0.347368
0.006656,0.347368
0.006656,0.347368
0.006656,0.347368
0.006656,0.347368
0.008319,0.414035
0.008319,0.414035
0.008319,0.414035
0.008319,0.414035
0.008319,0.414035
0.008319,0.414035
0.008319,0.414035
0.008319,0.414035
0.008319,0.414035
0.008319,0.414035
0.008319,0.414035
0.008319,0.414035
0.008319,0.452632
0.008319,0.452632
0.008319,0.452632
0.008319,0.452632
0.008319,0.452632
0.008319,0.452632
0.008319,0.452632
0.008319,0.452632
0.008319,0.452632
0.008319,0.452632
0.008319,0.452632
0.008319,0.452632
0.013311,0.477193
0.013311,0.477193
0.013311,0.477193
0.013311,0.477193
0.013311,0.477193
0.013311,0.477193
0.013311,0.477193
0.013311,0.477193
0.013311,0.477193
0.013311,0.477193
0.013311,0.477193
0.013311,0.477193
0.016639,0.526316
0.016639,0.526316
0.016639,0.526316
0.016639,0.526316
0.016639,0.526316
0.016639,0.526316
0.016639,0.526316
0.016639,0.526316
0.016639,0.526316
0.016639,0.526316
0.016639,0.526316
0.026622,0.561404
0.026622,0.561404
0.026622,0.561404
0.026622,0.561404
0.026622,0.561404
0.026622,0.561404
0.026622,0.561404
0.026622,0.561404
0.026622,0.561404
0.026622,0.561404
0.026622,0.561404
0.026622,0.561404
0.039933,0.628070
0.039933,0.628070
0.039933,0.628070
0.039933,0.628070
0.039933,0.628070
0.039933,0.628070
0.039933,0.628070
0.039933,0.628070
0.039933,0.628070
0.039933,0.628070
0.039933,0.628070
0.039933,0.628070
0.068220,0.694737
0.068220,0.694737
0.068220,0.694737
0.068220,0.694737
0.068220,0.694737
0.068220,0.694737
0.068220,0.694737
0.068220,0.694737
0.068220,0.694737
0.068220,0.694737
0.068220,0.694737
0.068220,0.694737
0.133111,0.771930
0.133111,0.771930
0.133111,0.771930
0.133111,0.771930
0.133111,0.771930
0.133111,0.771930
0.133111,0.771930
0.133111,0.771930
0.133111,0.771930
0.133111,0.771930
0.133111,0.771930
0.266223,0.831579
0.266223,0.831579
0.266223,0.831579
0.266223,0.831579
0.266223,0.831579
0.266223,0.831579
0.266223,0.831579
0.266223,0.831579
0.266223,0.831579
0.266223,0.831579
0.266223,0.831579
0.266223,0.831579
0.420965,0.901754
0.420965,0.901754
0.420965,0.901754
0.420965,0.901754
0.420965,0.901754
0.420965,0.901754
0.420965,0.901754
0.420965,0.901754
0.420965,0.901754
0.420965,0.901754
0.420965,0.901754
0.420965,0.901754
0.633943,0.961404
0.633943,0.961404
0.633943,0.961404
0.633943,0.961404
0.633943,0.961404
0.633943,0.961404
0.633943,0.961404
0.633943,0.961404
0.633943,0.961404
0.633943,0.961404
0.633943,0.961404
0.633943,0.961404
0.865225,0.985965
0.865225,0.985965
0.865225,0.985965
0.865225,0.985965
0.865225,0.985965
0.865225,0.985965
0.865225,0.985965
0.865225,0.985965
0.865225,0.985965
0.865225,0.985965
0.865225,0.985965
1.000000,1.000000
