model,split,accuracy,precision,recall,f1,auc,tp,tn,fp,fn
LR,train,0.8720,0.8708,0.7060,0.7798,0.9155,802,2283,119,334
LR,test,0.8725,0.8644,0.7158,0.7831,0.9066,204,569,32,81
LR,all,0.8721,0.8695,0.7080,0.7804,0.9138,1006,2852,151,415
KNN,train_sampled,0.8000,0.8600,0.4479,0.5890,0.8968,43,197,7,53
KNN,test,0.7844,0.8092,0.4316,0.5629,0.8365,123,572,29,162
KNN,all_sampled,0.7343,0.7656,0.3858,0.5131,0.7854,49,208,15,78
